,title,date,keywords_textrank,ai_entity,day,month,year,status
170,Twitter's New AI Recognizes Porn So You Don't Have To,2015-07-08,"['twitter', 'company', 'identified', 'identify', 'identifying', 'like', 'learning', 'learn']",language identification,8,7,2015,precovid
171,"Weeding Out Online Bullying Is Tough, So Let Machines Do It",2015-07-10,"['say', 'sri', 'bullying', 'bully', 'winarsky', 'problem']",question answering,10,7,2015,precovid
172,"Siting wind farms more quickly, cheaply",2015-07-17,"['data', 'wind', 'model', 'site', 'distribution']",activity recognition,17,7,2015,precovid
173,Object recognition for robots,2015-07-23,"['object', 'slam', 'robotics', 'robotic', 'robot map', 'pillai', 'mapping']",object recognition,23,7,2015,precovid
174,Plenty of Other People Signed That AI Weapons Letter,2015-07-27,"['today bunch', 'played nerd', 'connor']",deep learning,27,7,2015,precovid
175,The Guy Who Taught AI to 'Remember' Is Launching a Startup,2015-07-28,"['researcher', 'research', 'say', 'company', 'nnaisense', 'schmidhuber']",question answering,28,7,2015,precovid
176,Startup Has a Clever Tool to Get Non-Techies to Code: Excel,2015-07-29,"['katsen', 'company', 'tool', 'blockspring', 'apis', 'api']",semantic translation,29,7,2015,precovid
177,This Toy Dinosaur Uses IBM's Watson as a Brain,2015-08-05,"['watson', 'toy', 'connect', 'connects', 'connected', 'cognitoys', 'cognitoy', 'app']",object recognition,5,8,2015,precovid
178,Your Lawyer May Soon Ask This AI-Powered App for Legal Help,2015-08-07,"['ross', 'ovbiagele', 'legal', 'law', 'work', 'working']",handwriting recognition,7,8,2015,precovid
179,"Robots collaborate to deliver meds, supplies, and even drinks",2015-08-10,"['robot', 'robotics', 'team', 'uncertainty', 'planning', 'plan', 'say']",robotics,10,8,2015,precovid
180,IBM's Watson AI Wants to Coach Your Fantasy Football Team,2015-08-12,"['player', 'app', 'say', 'saying', 'fantasy', 'watson']",semantic translation,12,8,2015,precovid
181,Could a pen change how we diagnose brain function?,2015-08-13,"['time', 'timing', 'drawing', 'draw', 'researcher', 'research', 'university', 'test', 'tested']",semantic search,13,8,2015,precovid
182,"Robots Will Steal Our Jobs, But They'll Give Us New Ones",2015-08-24,"['job', 'robotic', 'robot', 'robotics', 'gownder', 'human', 'humanity', 'say']",robotics,24,8,2015,precovid
183,Facebook's Human-Powered Assistant May Just Supercharge AI,2015-08-26,"['ai', 'facebook', 'human', 'lebrun', 'data']",artificial life,26,8,2015,precovid
184,This Girls' Summer Camp Could Help Change the World of AI,2015-08-31,"['girl', 'ai', 'say', 'saying', 'like', 'likely', 'student']",named-entity extraction,31,8,2015,precovid
185,Self-driving golf carts,2015-09-01,"['vehicle', 'cart', 'research', 'researcher', 'say', 'sensor']",semantic search,1,9,2015,precovid
186,CSAIL joins with Toyota on $25 million research center for autonomous cars,2015-09-04,"['driver', 'toyota', 'research', 'researcher', 'challenge', 'challenging', 'advance', 'advanced', 'advancing']",data mining,4,9,2015,precovid
187,Amy Ingram Is an AI That's Not So Artificial,2015-09-15,"['ingram', 'ai', 'like', 'machine', 'email']",e-mail spam filtering,15,9,2015,precovid
188,Personalized heart models for surgical planning,2015-09-17,"['patient', 'model surgeon', 'algorithm', 'algorithmic', 'segmentation', 'segmented', 'segment', 'segmenting']",intelligent agent,17,9,2015,precovid
189,Learning language by playing games,2015-09-23,"['game', 'word', 'difference', 'different', 'researcher', 'research', 'say']",semantic search,23,9,2015,precovid
190,Soft robotic hand can pick up and identify a wide array of objects,2015-09-30,"['object', 'robot', 'robotics', 'robotic', 'grasp', 'grasping', 'finger', 'ru']",robotics,30,9,2015,precovid
191,More-flexible machine learning,2015-10-01,"['tagged', 'researcher', 'research', 'predicting tag', 'image', 'dog', 'predict', 'prediction']",pattern recognition,1,10,2015,precovid
192,Predicting change in the Alzheimer’s brain,2015-10-06,"['data', 'researcher', 'research', 'disease', 'scan', 'say']",semantic search,6,10,2015,precovid
193,Robots and us,2015-10-13,"['mindell', 'automated', 'automation', 'automate', 'automating', 'car', 'technology', 'technological', 'say']",automation,13,10,2015,precovid
194,Automating big-data analysis,2015-10-16,"['data', 'feature', 'featured', 'predictive', 'prediction', 'predicting', 'machine', 'problem']",machine learning,16,10,2015,precovid
195,Yelp's Using Image Search to Change How It Finds You a Bar,2015-10-19,"['photo', 'yelp', 'haugen', 'search', 'way']",semantic search,19,10,2015,precovid
196,This News-Writing Bot Is Now Free for Everyone,2015-10-20,"['age robot writer', 'u associated']",facial recognition systems,20,10,2015,precovid
197,Intel Is Building Artificial Smarts Right Into Its Chips,2015-10-26,"['intel', 'company', 'ai', 'saffron', 'like', 'likely']",intelligent agent,26,10,2015,precovid
198,Robot Radiologists Will Soon Analyze Your X-Rays,2015-10-27,"['image', 'enlitic', 'help', 'radiologist', 'software']",game artificial intelligence,27,10,2015,precovid
199,Facebook's AI Can Caption Photos for the Blind on Its Own,2015-10-27,"['facebook', 'facebookers', 'facebooker', 'photo', 'king', 'say', 'people']",handwriting recognition,27,10,2015,precovid
200,IBM Is About to Become the Best Weather Forecaster Ever,2015-10-28,"['data', 'weather company', 'ibm watson']",semantic translation,28,10,2015,precovid
201,"If We Want Humane AI, It Has to Understand All Humans",2015-10-30,"['li', 'ai', 'human', 'humanity', 'humane', 'researcher', 'research', 'diversity', 'diverse']",semantic search,30,10,2015,precovid
202,Facebook Aims Its AI at the Game No Computer Can Crack,2015-11-03,"['facebook', 'human', 'ai', 'deep', 'photo']",artificial life,3,11,2015,precovid
203,Augury's Gadget Lets Machines Hear When They're About to Die,2015-11-04,"['sound', 'machine', 'augury', 'device', 'software']",machine learning,4,11,2015,precovid
204,Here's How Smart Facebook's AI Has Become,2015-11-06,"['ai facebook', 'baby', 'yann', 'yes']",facial recognition,6,11,2015,precovid
205,"Google Just Open Sourced TensorFlow, Its Artificial Intelligence Engine",2015-11-09,"['google', 'learning', 'learn', 'tensorflow', 'software', 'say']",language identification,9,11,2015,precovid
206,"TensorFlow, Google's Open Source AI, Signals Big Changes in Hardware Too",2015-11-10,"['ai', 'gpus', 'google', 'company', 'chip']",artificial life,10,11,2015,precovid
207,Google's TensorFlow Alone Will Not Revolutionize AI,2015-11-13,"['human', 'like', 'likely', 'person', 'representation', 'ai']",pattern recognition,13,11,2015,precovid
208,Streamlining mobile image processing,2015-11-13,"['image', 'researcher', 'research', 'pixel', 'file', 'server']",artificial life,13,11,2015,precovid
209,Google Open-Sourcing TensorFlow Shows AI's Future Is Data,2015-11-16,"['data', 'ai', 'company', 'google', 'lot']",artificial life,16,11,2015,precovid
210,NASA gives MIT a humanoid robot to develop software for future space missions,2015-11-17,"['robot', 'robotics', 'robotic', 'nasa', 'space', 'human', 'develop', 'developing', 'development']",robotics,17,11,2015,precovid
211,Wikipedia Deploys AI to Expand Its Ranks of Human Editors,2015-12-01,"['human', 'wikipedia', 'say', 'saying', 'vandalize', 'vandalism', 'vandal', 'algorithm']",automatic target recognition,1,12,2015,precovid
212,You're Probably Not Rich Enough to Opt Out of the Internet,2015-12-04,"['internet', 'service', 'google', 'information', 'informed', 'inform', 'informing', 'people']",intelligent agent,4,12,2015,precovid
213,Google and Facebook Race to Solve the Ancient Game of Go With AI,2015-12-07,"['machine', 'learning', 'learn', 'learned', 'game', 'play', 'playing', 'played', 'human']",semantic search,7,12,2015,precovid
214,Facebook Open Sources Its AI Hardware as It Races Google,2015-12-10,"['company', 'google facebook', 'design', 'designed', 'designing', 'open', 'opened']",deep learning,10,12,2015,precovid
215,Computer system passes “visual Turing test”,2015-12-10,"['human', 'character', 'concept', 'learn', 'learning', 'new']",machine learning,10,12,2015,precovid
216,Elon Musk Snags Top Google Researcher for New AI Non-Profit,2015-12-11,"['openai', 'learn', 'google', 'deep learning', 'humanity', 'human']",deep learning,11,12,2015,precovid
217,CSAIL shows off demos to 150 high-schoolers for “Hour of Code”,2015-12-14,"['friday mit', 'believe learning', 'come']",deep learning,14,12,2015,precovid
218,Elon Musk's Billion-Dollar AI Plan Is About Far More Than Saving the World,2015-12-15,"['ai', 'openai', 'google', 'company', 'human', 'humanity']",artificial life,15,12,2015,precovid
219,Deep-learning algorithm predicts photos’ memorability at “near-human” levels,2015-12-16,"['image', 'memorable', 'memorability', 'human', 'say', 'researcher', 'research']",semantic search,16,12,2015,precovid
220,Machines that learn like people,2015-12-23,"['object', 'brain research', 'researcher', 'image', 'invariant', 'invariance']",machine learning,23,12,2015,precovid
221,License to (Not) Drive | Backchannel,2016-01-13,"['car', 'google', 'driver', 'driving', 'drive', 'like']",handwriting recognition,13,1,2016,precovid
222,Microsoft Neural Net Shows Deep Learning Can Get Way Deeper,2016-01-14,"['researcher', 'microsoft research', 'say', 'deep', 'human']",semantic search,14,1,2016,precovid
223,Football Coaches Are Turning to AI for Help Calling Plays,2016-01-20,"['game', 'football', 'data', 'played', 'play', 'playing', 'team']",computer game,20,1,2016,precovid
224,Do We Really Want Messaging to Replace Our Apps?,2016-01-21,"['gobutler', 'message', 'messaging', 'company', 'human', 'learning', 'learn']",language identification,21,1,2016,precovid
225,Obsessing Over AI Is the Wrong Way to Think About the Future,2016-01-22,"['intelligence', 'intelligent', 'ia', 'machine', 'doctor', 'human']",intelligent agent,22,1,2016,precovid
226,"Marvin Minsky, “father of artificial intelligence,” dies at 88",2016-01-25,"['minsky', 'intelligent', 'artificial intelligence', 'mit', 'mind']",game artificial intelligence,25,1,2016,precovid
227,"To Make AI More Human, Teach It to Chitchat",2016-01-25,"['xiaoice bot', 'like', 'conversation', 'conversational', 'human']",semantic translation,25,1,2016,precovid
228,The Rise of the Artificially Intelligent Hedge Fund,2016-01-25,"['trade', 'trading', 'fund', 'funding', 'ai', 'company', 'market', 'marketed']",artificial life,25,1,2016,precovid
229,Marvin Minsky’s Marvelous Meat Machine,2016-01-26,"['marvin minsky', 'hacker', 'hackerism', 'mind', 'ai']",semantic search,26,1,2016,precovid
230,Microsoft Open Sources Its Artificial Brain to One-Up Google,2016-01-26,"['microsoft', 'google', 'cntk', 'intelligence', 'speech']",intelligent agent,26,1,2016,precovid
231,We Asked a Robot to Write an Obit for AI Pioneer Marvin Minsky,2016-01-26,"['automating', 'wordsmith automated', 'minsky', 'human machine']",machine learning,26,1,2016,precovid
232,"In a Huge Breakthrough, Google's AI Beats a Top Player at the Game of Go",2016-01-27,"['human', 'deepmind', 'researcher', 'research', 'learning', 'learn', 'learned', 'game']",deep learning,27,1,2016,precovid
233,A virtual “guide dog” for navigation,2016-02-02,"['chip', 'point', 'algorithm', 'work', 'working', 'camera']",handwriting recognition,2,2,2016,precovid
234,Energy-friendly chip can perform powerful artificial-intelligence tasks,2016-02-03,"['network', 'networked', 'data', 'chip', 'processing', 'process', 'mit']",question answering,3,2,2016,precovid
235,Car talk,2016-02-10,"['rosekind', 'automated', 'automation', 'safety', 'vehicle', 'said']",automation,10,2,2016,precovid
236,Automatic contingency planning,2016-02-15,"['planning', 'plan', 'researcher', 'research', 'mission', 'graph', 'risk']",nlp,15,2,2016,precovid
237,The Best AI Still Flunks 8th Grade Science,2016-02-16,"['say', 'ai', 'machine', 'contest', 'contestant', 'etzioni']",machine learning,16,2,2016,precovid
238,New $5 Million X Prize for AI That Gives the Best TED Talk,2016-02-17,"['human', 'humanity', 'ted talk', 'challenged', 'challenge', 'diamandis']",data mining,17,2,2016,precovid
239,A Go Grandmaster Will Battle Google's AI in a $1M Prizefight,2016-02-17,"['alphago', 'match', 'win', 'winning', 'hassabis', 'deepmind']",handwriting recognition,17,2,2016,precovid
240,Enabling human-robot rescue teams,2016-02-17,"['human', 'team', 'information', 'modeling', 'model', 'communication']",information extraction,17,2,2016,precovid
241,AI Helps Facebook's Internet Drones Find Where the People Are,2016-02-22,"['facebook', 'human', 'people', 'say', 'building', 'build']",artificial intelligence diagnosis,22,2,2016,precovid
242,Don't Laugh: Yahoo's Open Source AI Has a Secret Weapon,2016-02-24,"['yahoo', 'photo', 'data', 'ai', 'source', 'sourced']",artificial life,24,2,2016,precovid
243,Google's Artificial Brain Is Pumping Out Trippy—And Pricey—Art,2016-02-29,"['google', 'art', 'image', 'neural', 'like']",natural language processing,29,2,2016,precovid
244,Google's AI Is About to Battle a Go Champion—But This Is No Game,2016-03-08,"['human', 'alphago', 'learn', 'learning', 'say', 'saying', 'match', 'matched']",deep learning,8,3,2016,precovid
245,The Human Jigsaw,2016-03-09,"['patient', 'rapp', 'saadeh', 'surgery', 'bone']",named-entity extraction,9,3,2016,precovid
246,Google's AI Wins First Game in Historic Match With Go Champion,2016-03-09,"['alphago', 'match', 'matched', 'game', 'playing', 'play', 'played', 'redmond']",computer game,9,3,2016,precovid
247,Go Grandmaster Says He's 'in Shock' But Can Still Beat Google's AI,2016-03-09,"['game', 'alphago', 'match', 'matching', 'google', 'lee']",data mining,9,3,2016,precovid
248,The Sadness and Beauty of Watching Google's AI Play Go,2016-03-11,"['game', 'alphago', 'match', 'human', 'play', 'played', 'playing']",knowledge management,11,3,2016,precovid
249,Go Grandmaster Lee Sedol Grabs Consolation Win Against Google's AI,2016-03-13,"['game alphago', 'played', 'play', 'playing', 'machine', 'match']",machine learning,13,3,2016,precovid
250,Why the Final Game Between AlphaGo and Lee Sedol Is Such a Big Deal for Humanity,2016-03-14,"['game', 'alphago', 'match', 'playing', 'played', 'play', 'korean']",computer game,14,3,2016,precovid
251,How Google's AI Viewed the Move No Human Could Understand,2016-03-14,"['game', 'alphago', 'silver', 'played', 'play', 'playing', 'machine']",machine learning,14,3,2016,precovid
252,Google's AI Wins Fifth And Final Game Against Go Genius Lee Sedol,2016-03-15,"['game', 'alphago', 'playing', 'play', 'played', 'human', 'machine']",machine learning,15,3,2016,precovid
253,Self-Driving Cars Won't Work Until We Change Our Roads—And Attitudes,2016-03-15,"['car', 'making', 'way make safe', 'human', 'safely']",data mining,15,3,2016,precovid
254,"In Two Moves, AlphaGo and Lee Sedol Redefined the Future",2016-03-16,"['game', 'alphago', 'played', 'play', 'playing', 'machine', 'match']",machine learning,16,3,2016,precovid
255,How Google's AI Auto-Magically Answers Your Emails,2016-03-17,"['reply', 'replying', 'response email', 'inbox', 'google']",silent speech interface,17,3,2016,precovid
256,Adobe Harnesses AI to Organize Your Photos for You,2016-03-21,"['tag', 'adobe', 'like', 'marketing', 'marketer', 'keywords']",machine learning,21,3,2016,precovid
